accession	Kingdom	Phylum	Class	Order	Family	Genus	OTU
K00568						2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]	K00568
K00569						thiopurine S-methyltransferase [EC:2.1.1.67]	K00569
K00570						phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]	K00570
K00571						site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]	K00571
K00573						protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]	K00573
K00574						cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]	K00574
K00575						chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	K00575
K00577						tetrahydromethanopterin S-methyltransferase subunit A [EC:2.1.1.86]	K00577
K00587						protein-S-isoprenylcysteine O-methyltransferase [EC:2.1.1.100]	K00587
K00588						caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]	K00588
K00589						uroporphyrin-III C-methyltransferase [EC:2.1.1.107]	K00589
K00591						polyprenyldihydroxybenzoate methyltransferase / 3-demethylubiquinol 3-O-methyltransferase [EC:2.1.1.114 2.1.1.64]	K00591
K00594						alditol oxidase [EC:1.1.3.41]	K00594
K00595						"precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase [EC:2.1.1.132 2.1.1.289 2.1.1.196]"	K00595
K00596						"2,2-dialkylglycine decarboxylase (pyruvate) [EC:4.1.1.64]"	K00596
K00598						trans-aconitate 2-methyltransferase [EC:2.1.1.144]	K00598
K00600						glycine hydroxymethyltransferase [EC:2.1.2.1]	K00600
K00601						phosphoribosylglycinamide formyltransferase [EC:2.1.2.2]	K00601
K00602						phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	K00602
K00603						glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase [EC:2.1.2.5 6.3.3.2]	K00603
K00604						methionyl-tRNA formyltransferase [EC:2.1.2.9]	K00604
K00605						aminomethyltransferase [EC:2.1.2.10]	K00605
K00606						3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]	K00606
K00609						aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	K00609
K00611						ornithine carbamoyltransferase [EC:2.1.3.3]	K00611
K00612						carbamoyltransferase [EC:2.1.3.-]	K00612
K00613						glycine amidinotransferase [EC:2.1.4.1]	K00613
K00615						transketolase [EC:2.2.1.1]	K00615
K00616						transaldolase [EC:2.2.1.2]	K00616
K00618						amino-acid N-acetyltransferase [EC:2.3.1.1]	K00618
K00619						amino-acid N-acetyltransferase [EC:2.3.1.1]	K00619
K00620						glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	K00620
K00621						glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]	K00621
K00622						arylamine N-acetyltransferase [EC:2.3.1.5]	K00622
K00624						carnitine O-acetyltransferase [EC:2.3.1.7]	K00624
K00625						phosphate acetyltransferase [EC:2.3.1.8]	K00625
K00626						acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	K00626
K00627						pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]	K00627
K00630						glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]	K00630
K00631						glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]	K00631
K00632						acetyl-CoA acyltransferase [EC:2.3.1.16]	K00632
K00634						phosphate butyryltransferase [EC:2.3.1.19]	K00634
K00635						diacylglycerol O-acyltransferase / wax synthase [EC:2.3.1.20 2.3.1.75]	K00635
K00637						sterol O-acyltransferase [EC:2.3.1.26]	K00637
K00639						glycine C-acetyltransferase [EC:2.3.1.29]	K00639
K00640						serine O-acetyltransferase [EC:2.3.1.30]	K00640
K00641						homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]	K00641
K00643						5-aminolevulinate synthase [EC:2.3.1.37]	K00643
K00645						[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	K00645
K00646						malonyl-ACP decarboxylase	K00646
K00647						3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]	K00647
K00648						3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	K00648
K00651						homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]	K00651
K00652						8-amino-7-oxononanoate synthase [EC:2.3.1.47]	K00652
K00654						serine palmitoyltransferase [EC:2.3.1.50]	K00654
K00655						1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	K00655
K00656						formate C-acetyltransferase [EC:2.3.1.54]	K00656
K00657						diamine N-acetyltransferase [EC:2.3.1.57]	K00657
K00658						2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]	K00658
K00661						maltose O-acetyltransferase [EC:2.3.1.79]	K00661
K00662						aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]	K00662
K00663						aminoglycoside 6'-N-acetyltransferase [EC:2.3.1.82]	K00663
K00666						fatty-acyl-CoA synthase [EC:6.2.1.-]	K00666
K00667						"fatty acid synthase subunit alpha, fungi type [EC:2.3.1.86]"	K00667
K00668						"fatty acid synthase subunit beta, fungi type [EC:2.3.1.86]"	K00668
K00670						N-alpha-acetyltransferase 30 [EC:2.3.1.256]	K00670
K00671						glycylpeptide N-tetradecanoyltransferase [EC:2.3.1.97]	K00671
K00672						formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101]	K00672
K00673						arginine N-succinyltransferase [EC:2.3.1.109]	K00673
K00674						"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"	K00674
K00675						N-hydroxyarylamine O-acetyltransferase [EC:2.3.1.118]	K00675
K00677						UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	K00677
K00679						phospholipid:diacylglycerol acyltransferase [EC:2.3.1.158]	K00679
K00681						gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]	K00681
K00682						gamma-glutamylcyclotransferase [EC:4.3.2.9]	K00682
K00683						glutaminyl-peptide cyclotransferase [EC:2.3.2.5]	K00683
K00684						leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]	K00684
K00685						arginyl-tRNA---protein transferase [EC:2.3.2.8]	K00685
K00688						glycogen phosphorylase [EC:2.4.1.1]	K00688
K00693						glycogen synthase [EC:2.4.1.11]	K00693
K00694						cellulose synthase (UDP-forming) [EC:2.4.1.12]	K00694
K00697						trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]	K00697
K00698						chitin synthase [EC:2.4.1.16]	K00698
K00699						glucuronosyltransferase [EC:2.4.1.17]	K00699
K00700						"1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"	K00700
K00701						cyclomaltodextrin glucanotransferase [EC:2.4.1.19]	K00701
K00702						cellobiose phosphorylase [EC:2.4.1.20]	K00702
K00703						starch synthase [EC:2.4.1.21]	K00703
K00705						4-alpha-glucanotransferase [EC:2.4.1.25]	K00705
K00706						"1,3-beta-glucan synthase [EC:2.4.1.34]"	K00706
K00710						polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41]	K00710
K00712						poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52]	K00712
K00718						galactoside 2-L-fucosyltransferase 1/2 [EC:2.4.1.69]	K00718
K00720						ceramide glucosyltransferase [EC:2.4.1.80]	K00720
K00721						dolichol-phosphate mannosyltransferase [EC:2.4.1.83]	K00721
K00728						dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]	K00728
K00729						dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]	K00729
K00730						oligosaccharyl transferase complex subunit OST4	K00730
K00737						"beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.144]"	K00737
K00748						lipid-A-disaccharide synthase [EC:2.4.1.182]	K00748
K00749						"alpha-1,3-glucan synthase [EC:2.4.1.183]"	K00749
K00750						glycogenin [EC:2.4.1.186]	K00750
K00752						hyaluronan synthase [EC:2.4.1.212]	K00752
K00754						L-malate glycosyltransferase [EC:2.4.1.-]	K00754
K00756						pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]	K00756
K00757						uridine phosphorylase [EC:2.4.2.3]	K00757
K00758						thymidine phosphorylase [EC:2.4.2.4]	K00758
K00759						adenine phosphoribosyltransferase [EC:2.4.2.7]	K00759
K00760						hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]	K00760
K00761						uracil phosphoribosyltransferase [EC:2.4.2.9]	K00761
K00762						orotate phosphoribosyltransferase [EC:2.4.2.10]	K00762
K00763						nicotinate phosphoribosyltransferase [EC:6.3.4.21]	K00763
K00764						amidophosphoribosyltransferase [EC:2.4.2.14]	K00764
K00765						ATP phosphoribosyltransferase [EC:2.4.2.17]	K00765
K00766						anthranilate phosphoribosyltransferase [EC:2.4.2.18]	K00766
K00767						nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]	K00767
K00768						nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]	K00768
K00769						xanthine phosphoribosyltransferase [EC:2.4.2.22]	K00769
K00772						5'-methylthioadenosine phosphorylase [EC:2.4.2.28]	K00772
K00773						queuine tRNA-ribosyltransferase [EC:2.4.2.29]	K00773
K00782						L-lactate dehydrogenase complex protein LldG	K00782
K00783						23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]	K00783
K00784						ribonuclease Z [EC:3.1.26.11]	K00784
K00787						farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]	K00787
K00788						thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]	K00788
K00789						S-adenosylmethionine synthetase [EC:2.5.1.6]	K00789
K00790						UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	K00790
K00791						tRNA dimethylallyltransferase [EC:2.5.1.75]	K00791
K00793						riboflavin synthase [EC:2.5.1.9]	K00793
K00794						"6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]"	K00794
K00795						farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]	K00795
K00796						dihydropteroate synthase [EC:2.5.1.15]	K00796
K00797						spermidine synthase [EC:2.5.1.16]	K00797
K00798						cob(I)alamin adenosyltransferase [EC:2.5.1.17]	K00798
K00799						glutathione S-transferase [EC:2.5.1.18]	K00799
K00800						3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]	K00800
K00801						farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]	K00801
K00803						alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]	K00803
K00804						"geranylgeranyl diphosphate synthase, type III [EC:2.5.1.1 2.5.1.10 2.5.1.29]"	K00804
K00805						heptaprenyl diphosphate synthase [EC:2.5.1.30]	K00805
K00806						undecaprenyl diphosphate synthase [EC:2.5.1.31]	K00806
K00808						homospermidine synthase [EC:2.5.1.44]	K00808
K00809						deoxyhypusine synthase [EC:2.5.1.46]	K00809
K00812						aspartate aminotransferase [EC:2.6.1.1]	K00812
K00813						aspartate aminotransferase [EC:2.6.1.1]	K00813
K00814						alanine transaminase [EC:2.6.1.2]	K00814
K00817						histidinol-phosphate aminotransferase [EC:2.6.1.9]	K00817
K00819						ornithine--oxo-acid transaminase [EC:2.6.1.13]	K00819
K00820						glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]	K00820
K00821						acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]	K00821
K00822						beta-alanine--pyruvate transaminase [EC:2.6.1.18]	K00822
K00823						4-aminobutyrate aminotransferase [EC:2.6.1.19]	K00823
K00824						D-alanine transaminase [EC:2.6.1.21]	K00824
K00826						branched-chain amino acid aminotransferase [EC:2.6.1.42]	K00826
K00827						alanine-glyoxylate transaminase / (R)-3-amino-2-methylpropionate-pyruvate transaminase [EC:2.6.1.44 2.6.1.40]	K00827
K00830						alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	K00830
K00831						phosphoserine aminotransferase [EC:2.6.1.52]	K00831
K00832						aromatic-amino-acid transaminase [EC:2.6.1.57]	K00832
K00833						adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]	K00833
K00835						valine--pyruvate aminotransferase [EC:2.6.1.66]	K00835
K00836						diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]	K00836
K00837						aromatic aminotransferase [EC:2.6.1.-]	K00837
K00838						aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]	K00838
K00839						(S)-ureidoglycine---glyoxylate transaminase [EC:2.6.1.112]	K00839
K00844						hexokinase [EC:2.7.1.1]	K00844
K00845						glucokinase [EC:2.7.1.2]	K00845
K00847						fructokinase [EC:2.7.1.4]	K00847
K00848						rhamnulokinase [EC:2.7.1.5]	K00848
K00849						galactokinase [EC:2.7.1.6]	K00849
K00850						6-phosphofructokinase 1 [EC:2.7.1.11]	K00850
K00851						gluconokinase [EC:2.7.1.12]	K00851
K00852						ribokinase [EC:2.7.1.15]	K00852
K00853						L-ribulokinase [EC:2.7.1.16]	K00853
K00854						xylulokinase [EC:2.7.1.17]	K00854
K00855						phosphoribulokinase [EC:2.7.1.19]	K00855
K00856						adenosine kinase [EC:2.7.1.20]	K00856
K00857						thymidine kinase [EC:2.7.1.21]	K00857
K00858						NAD+ kinase [EC:2.7.1.23]	K00858
K00859						dephospho-CoA kinase [EC:2.7.1.24]	K00859
K00860						adenylylsulfate kinase [EC:2.7.1.25]	K00860
K00862						erythritol kinase (D-erythritol 1-phosphate-forming) [EC:2.7.1.215]	K00862
K00863						triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]	K00863
K00864						glycerol kinase [EC:2.7.1.30]	K00864
K00865						glycerate 2-kinase [EC:2.7.1.165]	K00865
K00866						choline kinase [EC:2.7.1.32]	K00866
K00867						type I pantothenate kinase [EC:2.7.1.33]	K00867
K00868						pyridoxine kinase [EC:2.7.1.35]	K00868
K00869						mevalonate kinase [EC:2.7.1.36]	K00869
K00872						homoserine kinase [EC:2.7.1.39]	K00872
K00873						pyruvate kinase [EC:2.7.1.40]	K00873
K00874						2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	K00874
K00875						D-ribulokinase [EC:2.7.1.47]	K00875
K00876						uridine kinase [EC:2.7.1.48]	K00876
K00878						hydroxyethylthiazole kinase [EC:2.7.1.50]	K00878
K00880						L-xylulokinase [EC:2.7.1.53]	K00880
K00881						allose kinase [EC:2.7.1.55]	K00881
K00882						1-phosphofructokinase [EC:2.7.1.56]	K00882
K00883						2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]	K00883
K00884						N-acetylglucosamine kinase [EC:2.7.1.59]	K00884
K00886						polyphosphate glucokinase [EC:2.7.1.63]	K00886
K00887						undecaprenol kinase [EC:2.7.1.66]	K00887
K00888						phosphatidylinositol 4-kinase A [EC:2.7.1.67]	K00888
K00889						1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]	K00889
K00891						shikimate kinase [EC:2.7.1.71]	K00891
K00894						ethanolamine kinase [EC:2.7.1.82]	K00894
K00895						diphosphate-dependent phosphofructokinase [EC:2.7.1.90]	K00895
K00897						kanamycin kinase [EC:2.7.1.95]	K00897
K00898						pyruvate dehydrogenase kinase 2/3/4 [EC:2.7.11.2]	K00898
K00899						5-methylthioribose kinase [EC:2.7.1.100]	K00899
K00900						6-phosphofructo-2-kinase [EC:2.7.1.105]	K00900
K00902						dolichol kinase [EC:2.7.1.108]	K00902
K00903						protein-tyrosine kinase [EC:2.7.10.2]	K00903
K00906						isocitrate dehydrogenase kinase/phosphatase [EC:2.7.11.5 3.1.3.-]	K00906
K00912						tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]	K00912
K00914						phosphatidylinositol 3-kinase [EC:2.7.1.137]	K00914
K00915						inositol-polyphosphate multikinase [EC:2.7.1.140 2.7.1.151]	K00915
K00916						CTD kinase subunit alpha [EC:2.7.11.22 2.7.11.23]	K00916
K00917						tagatose 6-phosphate kinase [EC:2.7.1.144]	K00917
K00918						ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]	K00918
K00919						4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]	K00919
K00921						1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]	K00921
K00925						acetate kinase [EC:2.7.2.1]	K00925
K00926						carbamate kinase [EC:2.7.2.2]	K00926
K00927						phosphoglycerate kinase [EC:2.7.2.3]	K00927
K00928						aspartate kinase [EC:2.7.2.4]	K00928
K00930						acetylglutamate kinase [EC:2.7.2.8]	K00930
K00931						glutamate 5-kinase [EC:2.7.2.11]	K00931
K00936						"two-component system, sensor histidine kinase PdtaS [EC:2.7.13.3]"	K00936
K00937						polyphosphate kinase [EC:2.7.4.1]	K00937
K00938						phosphomevalonate kinase [EC:2.7.4.2]	K00938
K00939						adenylate kinase [EC:2.7.4.3]	K00939
K00940						nucleoside-diphosphate kinase [EC:2.7.4.6]	K00940
K00941						hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]	K00941
K00942						guanylate kinase [EC:2.7.4.8]	K00942
K00943						dTMP kinase [EC:2.7.4.9]	K00943
K00945						CMP/dCMP kinase [EC:2.7.4.25]	K00945
K00946						thiamine-monophosphate kinase [EC:2.7.4.16]	K00946
K00947						molybdenum storage protein	K00947
K00948						ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	K00948
K00949						thiamine pyrophosphokinase [EC:2.7.6.2]	K00949
K00950						2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]	K00950
K00951						GTP pyrophosphokinase [EC:2.7.6.5]	K00951
K00953						FAD synthetase [EC:2.7.7.2]	K00953
K00954						pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]	K00954
K00955						bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]	K00955
K00956						sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]	K00956
K00957						sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]	K00957
K00958						sulfate adenylyltransferase [EC:2.7.7.4]	K00958
K00962						polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]	K00962
K00963						UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]	K00963
K00965						UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]	K00965
K00966						mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	K00966
K00967						ethanolamine-phosphate cytidylyltransferase [EC:2.7.7.14]	K00967
K00968						choline-phosphate cytidylyltransferase [EC:2.7.7.15]	K00968
K00969						nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]	K00969
K00970						poly(A) polymerase [EC:2.7.7.19]	K00970
K00971						mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	K00971
K00972						UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase [EC:2.7.7.23 2.7.7.83]	K00972
K00973						glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]	K00973
K00974						tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]	K00974
K00975						glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]	K00975
K00978						glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33]	K00978
K00979						3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]	K00979
K00980						glycerol-3-phosphate cytidylyltransferase [EC:2.7.7.39]	K00980
K00981						phosphatidate cytidylyltransferase [EC:2.7.7.41]	K00981
K00982						[glutamine synthetase] adenylyltransferase / [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase [EC:2.7.7.42 2.7.7.89]	K00982
K00986						RNA-directed DNA polymerase [EC:2.7.7.49]	K00986
K00987						mRNA guanylyltransferase [EC:2.7.7.50]	K00987
K00988						sulfate adenylyltransferase (ADP) / ATP adenylyltransferase [EC:2.7.7.5 2.7.7.53]	K00988
K00989						ribonuclease PH [EC:2.7.7.56]	K00989
K00990						[protein-PII] uridylyltransferase [EC:2.7.7.59]	K00990
K00991						2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]	K00991
K00992						N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99]	K00992
K00993						ethanolaminephosphotransferase [EC:2.7.8.1]	K00993
K00995						CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]	K00995
K00996						undecaprenyl-phosphate galactose phosphotransferase [EC:2.7.8.6]	K00996
K00997						holo-[acyl-carrier protein] synthase [EC:2.7.8.7]	K00997
K00999						CDP-diacylglycerol--inositol 3-phosphatidyltransferase [EC:2.7.8.11]	K00999
K01000						phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	K01000
K01001						UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase [EC:2.7.8.15]	K01001
K01003						oxaloacetate decarboxylase [EC:4.1.1.112]	K01003
